,underlying symbol,underlying price,description,max profit,max loss,max profit prob,max loss prob,spread premium,spread theo premium,expectation,leg1 symbol,leg2 symbol,leg1 theo,leg2 theo,leg1 delta,leg2 delta,leg1 volume,leg2 volume,leg1 inTheMoney,leg2 inTheMoney
40,SPY,323.965,Buy SPY_091820C340; Sell SPY_091820C337,0.9550000000000001,-2.045,0.720672,0.228875,0.9550000000000001,0.9550000000000001,0.10142183167279017,SPY_091820C337,SPY_091820C340,3.71,2.755,0.281,0.23,1080,4211,0,0
41,SPY,323.965,Buy SPY_091820C340; Sell SPY_091820C338,0.6150000000000002,-1.3849999999999998,0.7377819999999999,0.228875,0.6150000000000002,0.6150000000000002,0.09533340118844527,SPY_091820C338,SPY_091820C340,3.37,2.755,0.264,0.23,528,4211,0,0
42,SPY,323.965,Buy SPY_091820C341; Sell SPY_091820C338,0.8799999999999999,-2.12,0.7377819999999999,0.213193,0.8799999999999999,0.8799999999999999,0.08601547900566867,SPY_091820C338,SPY_091820C341,3.37,2.49,0.264,0.214,528,366,0,0
43,SPY,323.965,Buy SPY_091820C341; Sell SPY_091820C339,0.5699999999999994,-1.4300000000000006,0.7543610000000001,0.213193,0.5699999999999994,0.5699999999999998,0.08395177798743099,SPY_091820C339,SPY_091820C341,3.06,2.49,0.247,0.214,323,366,0,0
44,SPY,323.965,Buy SPY_091820C342; Sell SPY_091820C339,0.8199999999999994,-2.1800000000000006,0.7543610000000001,0.197794,0.8199999999999994,0.8199999999999998,0.07908508543147963,SPY_091820C339,SPY_091820C342,3.06,2.24,0.247,0.199,323,180,0,0
45,SPY,323.965,Buy SPY_091820C342; Sell SPY_091820C340,0.5149999999999997,-1.4850000000000003,0.7711250000000001,0.197794,0.5149999999999997,0.5149999999999997,0.06568562532823155,SPY_091820C340,SPY_091820C342,2.755,2.24,0.23,0.199,4211,180,0,0
46,SPY,323.965,Buy SPY_091820C343; Sell SPY_091820C340,0.7350000000000003,-2.2649999999999997,0.7711250000000001,0.183399,0.7350000000000003,0.7349999999999999,0.05938038211845695,SPY_091820C340,SPY_091820C343,2.755,2.02,0.23,0.184,4211,88,0,0
47,SPY,323.965,Buy SPY_091820C344; Sell SPY_091820C341,0.6750000000000003,-2.3249999999999997,0.786807,0.16948,0.6750000000000003,0.6750000000000003,0.05164746940709193,SPY_091820C341,SPY_091820C344,2.49,1.815,0.214,0.17,366,326,0,0
48,SPY,323.965,Buy SPY_091820C345; Sell SPY_091820C342,0.6100000000000003,-2.3899999999999997,0.802206,0.156323,0.6100000000000003,0.6100000000000003,0.04093349718866499,SPY_091820C342,SPY_091820C345,2.24,1.63,0.199,0.157,180,930,0,0
49,SPY,323.965,Buy SPY_091820C346; Sell SPY_091820C343,0.5499999999999996,-2.45,0.816601,0.144289,0.5499999999999996,0.55,0.03164188228482394,SPY_091820C343,SPY_091820C346,2.02,1.47,0.184,0.145,88,48,0,0
