Stock quote and option quote for SPY on 5/1/20 13:52:46

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
281.8002,D,-8.6798,281.80,Q,281.82,Q,6 x 15,"75,391,486",285.31,286.04,281.52

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
150,2.00%,<empty>,1.406,Q,3/20/20,339.08,218.26,0,.9794

Theo parameters
Theo date,Theo stock price,Theo volatility
1/3/21, 0.00$, 0.00%

1 MAY 20  (0)  100 (Weeklys)
,,Option Code,LAST,LX,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,LAST,LX,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,,
,,SPY200501C221,68.81,I,1.00,0,0,100.00%,0.00%,<empty>,.00,0,.00,.00,0,83,-.0002,.00,0.00%,60.8002,0,60.800,60.75,I,60.85,E,1 MAY 20,221,0,Z,.01,W,SPY200501P221,.01,A,.00,0,224,0.11%,99.89%,0.21%,.00,0,.00,.00,224,"1,056",.005,.00,147.66%,0,0,.005,,
,,SPY200501C222,67.58,I,1.00,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,110,-.0202,.00,--,59.8002,0,59.780,59.70,I,59.86,I,1 MAY 20,222,0,Z,.01,W,SPY200501P222,.02,I,.00,+.01,2,0.11%,99.89%,0.21%,.00,0,-.01,.00,2,"3,526",.005,.00,145.08%,0,0,.005,,
,,SPY200501C223,66.63,I,.95,0,0,94.25%,5.75%,11.08%,.00,0,-.03,.01,0,23,.0348,.00,268.26%,58.8002,0,58.835,58.74,I,58.93,P,1 MAY 20,223,0,Z,.01,W,SPY200501P223,.01,W,.00,0,4,0.11%,99.89%,0.22%,.00,0,.00,.00,4,"3,684",.005,.00,142.51%,0,0,.005,,
,,SPY200501C224,67.55,I,.95,0,0,94.40%,5.60%,10.80%,.00,0,-.01,.01,0,20,.0148,.00,261.30%,57.8002,0,57.815,57.70,I,57.93,P,1 MAY 20,224,0,Z,.01,W,SPY200501P224,.01,M,.00,0,1,0.11%,99.89%,0.22%,.00,0,.00,.00,1,"1,299",.005,.00,139.95%,0,.01,.005,,
,,SPY200501C225,56.87,I,.95,-8.11,4,94.46%,5.54%,10.69%,.00,0,-.01,.01,4,80,.0098,.00,255.56%,56.8002,56.87,56.810,56.70,I,56.92,E,1 MAY 20,225,0,Z,.01,W,SPY200501P225,.01,M,.00,0,1,0.11%,99.89%,0.22%,.00,0,.00,.00,1,"6,739",.005,.00,137.40%,0,.01,.005,,
,,SPY200501C226,47.85,C,1.00,+13.15,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,79,-.0102,.00,--,55.8002,0,55.790,55.75,I,55.83,I,1 MAY 20,226,0,Z,.01,W,SPY200501P226,.01,E,.00,0,1,0.11%,99.89%,0.22%,.00,0,-.01,.00,1,"1,270",.005,.00,134.85%,0,.01,.005,,
,,SPY200501C227,62.96,C,1.00,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,29,-.0102,.00,--,54.8002,0,54.790,54.75,I,54.83,I,1 MAY 20,227,0,Z,.01,W,SPY200501P227,.01,I,.00,0,0,0.12%,99.88%,0.23%,.00,0,-.01,.00,0,772,.005,.00,132.32%,0,0,.005,,
,,SPY200501C228,63.19,P,1.00,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,207,-.0052,.00,--,53.8002,0,53.795,53.71,Q,53.88,Q,1 MAY 20,228,0,Z,.01,W,SPY200501P228,.01,M,.00,0,1,0.12%,99.88%,0.23%,.00,0,.00,.00,1,"1,425",.005,.00,129.79%,0,0,.005,,
,,SPY200501C229,60.21,I,1.00,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,59,-.0302,.00,--,52.8002,0,52.770,52.71,Q,52.83,I,1 MAY 20,229,0,B,.01,W,SPY200501P229,.01,B,.00,0,200,0.12%,99.88%,0.23%,.00,0,.00,.00,200,"1,304",.005,.00,127.27%,0,0,.005,,
,,SPY200501C230,52.13,C,1.00,-7.69,8,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,8,136,-.0302,.00,--,51.8002,54.84,51.770,51.71,Q,51.83,I,1 MAY 20,230,0,A,.01,W,SPY200501P230,.01,E,.00,0,5,0.12%,99.88%,0.24%,.00,0,.00,.00,5,"17,661",.005,.00,124.76%,0,.01,.005,,
,,SPY200501C231,59.92,I,1.00,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,45,-.0052,.00,--,50.8002,0,50.795,50.75,I,50.84,I,1 MAY 20,231,0,B,.01,W,SPY200501P231,.02,A,.00,0,10,0.12%,99.88%,0.24%,.00,0,.00,.00,10,"1,672",.005,.00,122.25%,0,0,.005,,
,,SPY200501C232,57.92,I,1.00,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,22,-.0052,.00,--,49.8002,0,49.795,49.75,I,49.84,I,1 MAY 20,232,0,A,.01,W,SPY200501P232,.01,C,.00,0,0,0.12%,99.88%,0.24%,.00,0,.00,.00,0,829,.005,.00,119.76%,0,0,.005,,
,,SPY200501C233,52.38,E,1.00,-4.33,8,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,8,71,-.0052,.00,--,48.8002,52.38,48.795,48.75,I,48.84,E,1 MAY 20,233,0,B,.01,W,SPY200501P233,.01,P,.00,0,5,0.13%,99.87%,0.25%,.00,0,-.01,.00,5,"8,199",.005,.00,117.27%,0,0,.005,,
,,SPY200501C234,55.54,E,1.00,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,62,-.0052,.00,--,47.8002,0,47.795,47.75,I,47.84,I,1 MAY 20,234,0,B,.01,W,SPY200501P234,.01,X,.00,0,150,0.13%,99.87%,0.25%,.00,0,.00,.00,150,"1,002",.005,.00,114.79%,0,0,.005,,
,,SPY200501C235,50.72,I,1.00,-3.88,10,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,10,263,-.0052,.00,--,46.8002,50.72,46.795,46.75,I,46.84,I,1 MAY 20,235,0,B,.01,W,SPY200501P235,.01,I,.00,0,15,0.13%,99.87%,0.25%,.00,0,.00,.00,15,"7,466",.005,.00,112.31%,0,.01,.005,,
,,SPY200501C236,53.55,E,1.00,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,135,-.0052,.00,--,45.8002,0,45.795,45.71,Q,45.88,Q,1 MAY 20,236,0,B,.01,W,SPY200501P236,.01,E,.00,0,0,0.13%,99.87%,0.26%,.00,0,.00,.00,0,"1,659",.005,.00,109.85%,0,0,.005,,
,,SPY200501C237,45.58,E,1.00,-7.21,3,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,3,445,-.0102,.00,--,44.8002,45.65,44.790,44.75,I,44.83,I,1 MAY 20,237,0,B,.01,W,SPY200501P237,.01,I,.00,0,0,0.13%,99.87%,0.26%,.00,0,-.01,.00,0,"1,776",.005,.00,107.39%,0,0,.005,,
