Stock quote and option quote for SPY on 7/1/20 11:27:13

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
309.756,D,+1.396,309.73,Q,309.75,Z,8 x 1,"26,811,767",309.57,311.26,309.30

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
100,1.76%,<empty>,1.366,Q,6/19/20,339.08,218.26,0,1.001

Theo parameters
Theo date,Theo stock price,Theo volatility
12/30/20, 0.00$, 0.00%

1 JUL 20  (0)  100 (Weeklys)
Option Code,LAST,LX,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,BID,BX,ASK,AX,,,Exp,Strike,BID,BX,ASK,AX,Option Code,LAST,LX,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,,
SPY200701C274,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.035,.00,--,35.75,35.56,Q,35.87,Q,,,1 JUL 20,274,0,B,.01,X,SPY200701P274,.01,X,0,0,0.16%,99.84%,0.31%,.00,0,.00,.00,0,259,.005,.00,77.84%,0,,
SPY200701C275,34.07,I,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,8,-.125,.00,--,34.75,34.51,Q,34.74,Q,,,1 JUL 20,275,.01,P,.01,X,SPY200701P275,.01,A,-.01,11,0.29%,99.71%,0.58%,.00,0,-.01,.00,11,"8,362",.01,.00,80.80%,0,,
SPY200701C276,29.38,N,-8.59,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,14,-.065,.00,--,33.75,33.57,Z,33.80,Z,,,1 JUL 20,276,0,B,.01,X,SPY200701P276,.01,D,0,0,0.17%,99.83%,0.33%,.00,0,-.01,.00,0,605,.005,.00,73.54%,0,,
SPY200701C277,27.22,I,-17.92,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,0,-.15,.00,--,32.75,32.46,Q,32.74,Q,,,1 JUL 20,277,0,J,.01,X,SPY200701P277,.01,A,0,0,0.17%,99.83%,0.33%,.00,0,-.01,.00,0,"2,059",.005,.00,71.39%,0,,
SPY200701C278,33.65,P,-2.40,2,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,2,0,-.055,.00,--,31.75,31.63,Z,31.76,Q,,,1 JUL 20,278,0,B,.01,X,SPY200701P278,.02,N,0,0,0.17%,99.83%,0.34%,.00,0,.00,.00,0,"3,030",.005,.00,69.25%,0,,
SPY200701C279,24.52,A,-.97,5,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,5,5,-.085,.00,--,30.75,30.53,Z,30.80,Z,,,1 JUL 20,279,0,J,.01,W,SPY200701P279,.01,A,0,0,0.18%,99.82%,0.35%,.00,0,-.01,.00,0,681,.005,.00,67.11%,0,,
SPY200701C280,24.50,Z,+4.00,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,21,-.065,.00,--,29.75,29.58,Q,29.79,Q,,,1 JUL 20,280,0,J,.01,W,SPY200701P280,.02,P,0,0,0.18%,99.82%,0.36%,.00,0,.00,.00,0,"3,679",.005,.00,64.97%,0,,
SPY200701C281,21.79,A,+1.79,5,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,5,7,-.045,.00,--,28.75,28.63,Q,28.78,Q,,,1 JUL 20,281,0,B,.01,W,SPY200701P281,.02,Q,0,0,0.19%,99.81%,0.37%,.00,0,.00,.00,0,"1,602",.005,.00,62.84%,0,,
SPY200701C282,37.59,P,<empty>,4,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,4,0,-.115,.00,--,27.75,27.54,Q,27.73,Q,,,1 JUL 20,282,0,B,.01,W,SPY200701P282,.01,A,-.01,1,0.19%,99.81%,0.38%,.00,0,.00,.00,1,"1,417",.005,.00,60.71%,0,,
SPY200701C283,20.74,C,+1.24,3,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,3,2,-.14,.00,--,26.75,26.52,Q,26.70,Q,,,1 JUL 20,283,.02,P,.01,W,SPY200701P283,.01,A,-.01,21,0.48%,99.52%,0.95%,.00,0,-.01,.00,21,"5,634",.015,.00,65.12%,0,,
SPY200701C284,23.74,A,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,0,-.09,.00,--,25.75,25.58,Q,25.74,Q,,,1 JUL 20,284,0,C,.01,W,SPY200701P284,.01,A,-.01,1,0.21%,99.79%,0.40%,.00,0,.00,.00,1,"1,150",.005,.00,56.45%,0,,
SPY200701C285,21.94,C,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,42,-.035,.00,--,24.75,24.64,Q,24.79,Q,,,1 JUL 20,285,0,M,.01,W,SPY200701P285,.01,A,-.02,3,0.21%,99.79%,0.42%,.00,0,.00,.00,3,"11,929",.005,.00,54.32%,0,,
SPY200701C286,24.97,I,-1.42,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,6,-.155,.00,--,23.75,23.45,Z,23.74,Z,,,1 JUL 20,286,.03,P,.01,W,SPY200701P286,.01,M,-.02,5,0.69%,99.31%,1.35%,.00,0,-.02,.00,5,"7,092",.02,.00,60.25%,0,,
