,Exp,Strike,BID.1,ASK.1,Option Code.1,LAST.1,Delta.1,Net Chng.1,Volume.2,Prob.ITM.1,Prob.OTM.1,Prob.Touch.1,Rho.1,Theta.1,Vega.1,Volume.3,Open.Int.1,Extrinsic.1,Gamma.1,Impl Vol.1,Intrinsic.1,High.1,Mark.1,Unnamed: 52,Unnamed: 53
46,1 JUN 20,278,0.0,0.01,SPY200601P278,0.02,0.0,0,0,0.19%,99.81%,0.38%,0.0,-0.01,0.0,0,"2,029",0.005,0.0,62.79%,0.0,0.0,0.005,,
47,1 JUN 20,279,0.0,0.01,SPY200601P279,0.01,0.0,0,20,0.20%,99.80%,0.39%,0.0,0.0,0.0,20,"1,181",0.005,0.0,60.63%,0.0,0.01,0.005,,
48,1 JUN 20,280,0.0,0.01,SPY200601P280,0.01,0.0,0,59,0.20%,99.80%,0.40%,0.0,0.0,0.0,59,"15,405",0.005,0.0,58.48%,0.0,0.01,0.005,,
49,1 JUN 20,281,0.0,0.01,SPY200601P281,0.02,0.0,0,0,0.21%,99.79%,0.41%,0.0,0.0,0.0,0,"1,890",0.005,0.0,56.32%,0.0,0.0,0.005,,
50,1 JUN 20,282,0.0,0.01,SPY200601P282,0.01,0.0,-.01,40,0.21%,99.79%,0.43%,0.0,0.0,0.0,40,"17,090",0.005,0.0,54.17%,0.0,0.01,0.005,,
51,1 JUN 20,283,0.0,0.01,SPY200601P283,0.01,0.0,0,41,0.22%,99.78%,0.44%,0.0,-0.01,0.0,41,"2,331",0.005,0.0,52.02%,0.0,0.01,0.005,,
52,1 JUN 20,284,0.0,0.01,SPY200601P284,0.01,0.0,-.01,26,0.23%,99.77%,0.46%,0.0,0.0,0.0,26,"1,219",0.005,0.0,49.87%,0.0,0.01,0.005,,
53,1 JUN 20,285,0.0,0.01,SPY200601P285,0.01,0.0,-.01,207,0.24%,99.76%,0.48%,0.0,0.0,0.0,207,"8,731",0.005,0.0,47.72%,0.0,0.01,0.005,,
54,1 JUN 20,286,0.0,0.01,SPY200601P286,0.01,0.0,-.01,87,0.25%,99.75%,0.49%,0.0,0.0,0.0,87,"2,704",0.005,0.0,45.57%,0.0,0.01,0.005,,
55,1 JUN 20,287,0.0,0.01,SPY200601P287,0.01,0.0,-.02,18,0.26%,99.74%,0.52%,0.0,0.0,0.0,18,"11,420",0.005,0.0,43.42%,0.0,0.01,0.005,,
56,1 JUN 20,288,0.0,0.01,SPY200601P288,0.01,0.0,-.02,64,0.27%,99.73%,0.54%,0.0,0.0,0.0,64,"5,417",0.005,0.0,41.26%,0.0,0.01,0.005,,
57,1 JUN 20,289,0.0,0.01,SPY200601P289,0.01,0.0,-.03,870,0.28%,99.72%,0.56%,0.0,0.0,0.0,870,"10,959",0.005,0.0,39.11%,0.0,0.01,0.005,,
58,1 JUN 20,290,0.0,0.01,SPY200601P290,0.01,0.0,-.03,404,0.30%,99.70%,0.59%,0.0,-0.01,0.0,404,"10,052",0.005,0.0,36.95%,0.0,0.02,0.005,,
59,1 JUN 20,291,0.0,0.01,SPY200601P291,0.01,0.0,-.03,513,0.31%,99.69%,0.62%,0.0,-0.01,0.0,513,"3,534",0.005,0.0,34.79%,0.0,0.04,0.005,,
60,1 JUN 20,292,0.0,0.01,SPY200601P292,0.01,0.0,-.05,"1,376",0.33%,99.67%,0.66%,0.0,-0.01,0.0,"1,376","4,440",0.005,0.0,32.63%,0.0,0.03,0.005,,
61,1 JUN 20,293,0.0,0.01,SPY200601P293,0.01,0.0,-.05,"1,324",0.35%,99.65%,0.70%,0.0,-0.01,0.0,"1,324","5,364",0.005,0.0,30.46%,0.0,0.04,0.005,,
62,1 JUN 20,294,0.0,0.01,SPY200601P294,0.01,0.0,-.08,"10,726",0.37%,99.63%,0.75%,0.0,-0.01,0.0,"10,726","6,149",0.005,0.0,28.28%,0.0,0.07,0.005,,
63,1 JUN 20,295,0.0,0.01,SPY200601P295,0.01,0.0,-.10,"6,020",0.40%,99.60%,0.80%,0.0,-0.01,0.0,"6,020","19,675",0.005,0.0,26.10%,0.0,0.09,0.005,,
64,1 JUN 20,296,0.0,0.01,SPY200601P296,0.01,0.0,-.14,"6,323",0.43%,99.57%,0.87%,0.0,-0.01,0.0,"6,323","8,090",0.005,0.0,23.90%,0.0,0.12,0.005,,
65,1 JUN 20,297,0.0,0.01,SPY200601P297,0.01,0.0,-.18,"7,418",0.47%,99.53%,0.94%,0.0,-0.01,0.0,"7,418","33,684",0.005,0.0,21.70%,0.0,0.17,0.005,,
66,1 JUN 20,298,0.01,0.02,SPY200601P298,0.01,-0.01,-.23,"8,341",1.28%,98.72%,2.55%,0.0,-0.02,0.01,"8,341","11,457",0.015,0.01,22.34%,0.0,0.26,0.015,,
67,1 JUN 20,299,0.01,0.02,SPY200601P299,0.01,-0.01,-.30,"9,843",1.41%,98.59%,2.82%,0.0,-0.02,0.01,"9,843","7,523",0.015,0.01,19.83%,0.0,0.38,0.015,,
68,1 JUN 20,300,0.01,0.02,SPY200601P300,0.02,-0.02,-.38,"39,219",1.59%,98.41%,3.17%,0.0,-0.02,0.01,"39,219","21,476",0.015,0.01,17.29%,0.0,0.54,0.015,,
69,1 JUN 20,301,0.02,0.03,SPY200601P301,0.02,-0.03,-.48,"32,013",2.63%,97.37%,5.26%,0.0,-0.02,0.01,"32,013","14,148",0.025,0.02,15.89%,0.0,0.74,0.025,,
70,1 JUN 20,302,0.03,0.04,SPY200601P302,0.04,-0.04,-.64,"47,307",3.98%,96.02%,7.96%,0.0,-0.04,0.01,"47,307","45,702",0.035,0.04,13.96%,0.0,1.04,0.035,,
71,1 JUN 20,303,0.05,0.06,SPY200601P303,0.05,-0.07,-.82,"58,874",6.61%,93.39%,13.19%,0.0,-0.06,0.02,"58,874","6,583",0.055,0.07,12.06%,0.0,1.42,0.055,,
72,1 JUN 20,304,0.11,0.12,SPY200601P304,0.12,-0.13,-1.05,"82,005",13.40%,86.60%,26.77%,0.0,-0.12,0.03,"82,005","7,023",0.115,0.13,10.72%,0.0,1.9,0.115,,
73,1 JUN 20,305,0.27,0.28,SPY200601P305,0.28,-0.28,-1.21,"60,589",28.35%,71.65%,56.62%,0.0,-0.27,0.05,"60,589","6,428",0.275,0.22,9.80%,0.0,2.54,0.275,,
74,1 JUN 20,306,0.6,0.61,SPY200601P306,0.6,-0.53,-1.30,"26,856",52.96%,47.04%,94.24%,0.0,-0.51,0.06,"26,856","2,522",0.505,0.29,8.67%,0.1,3.22,0.605,,
75,1 JUN 20,307,1.24,1.25,SPY200601P307,1.24,-0.8,-1.18,"9,091",80.09%,19.91%,39.87%,-0.01,-0.15,0.05,"9,091","2,816",0.145,0.21,8.14%,1.1,4.06,1.245,,
76,1 JUN 20,308,2.09,2.12,SPY200601P308,2.1,-0.95,-.90,"3,593",97.11%,2.89%,5.78%,0.0,0.0,0.02,"3,593","1,305",0.005,0.02,6.90%,2.1,5.16,2.105,,
77,1 JUN 20,309,3.06,3.1,SPY200601P309,3.05,-1.0,-.75,537,100.00%,0.00%,<empty>,0.0,0.0,0.0,537,735,-0.02,0.0,--,3.1,5.7,3.08,,
78,1 JUN 20,310,4.05,4.11,SPY200601P310,3.95,-1.0,-.72,224,100.00%,0.00%,<empty>,0.0,0.0,0.0,224,822,-0.02,0.0,--,4.1,6.85,4.08,,
79,1 JUN 20,311,5.03,5.11,SPY200601P311,4.91,-1.0,-1.47,"1,029",100.00%,0.00%,<empty>,0.0,0.0,0.0,"1,029",317,-0.03,0.0,--,5.1,7.73,5.07,,
80,1 JUN 20,312,6.04,6.11,SPY200601P312,6.03,-1.0,-1.71,"1,127",100.00%,0.00%,<empty>,0.0,0.0,0.0,"1,127",91,-0.025,0.0,--,6.1,8.71,6.075,,
81,1 JUN 20,313,7.02,7.17,SPY200601P313,8.26,-1.0,-.20,10,100.00%,0.00%,<empty>,0.0,0.0,0.0,10,134,-0.005,0.0,--,7.1,9.56,7.095,,
82,1 JUN 20,314,8.03,8.12,SPY200601P314,8.5,-1.0,-.81,15,100.00%,0.00%,<empty>,0.0,0.0,0.0,15,24,-0.025,0.0,--,8.1,10.37,8.075,,
83,1 JUN 20,315,9.04,9.1,SPY200601P315,9.0,-1.0,-.56,188,100.00%,0.00%,<empty>,0.0,0.0,0.0,188,269,-0.03,0.0,--,9.1,11.55,9.07,,
84,1 JUN 20,316,10.05,10.14,SPY200601P316,15.57,-1.0,0,0,100.00%,0.00%,<empty>,0.0,0.0,0.0,0,129,-0.005,0.0,--,10.1,0.0,10.095,,
85,1 JUN 20,317,11.03,11.11,SPY200601P317,11.56,-1.0,-1.72,2,100.00%,0.00%,<empty>,0.0,0.0,0.0,2,3,-0.03,0.0,--,11.1,11.56,11.07,,
86,1 JUN 20,318,12.03,12.11,SPY200601P318,13.22,-1.0,0,0,100.00%,0.00%,<empty>,0.0,0.0,0.0,0,21,-0.03,0.0,--,12.1,0.0,12.07,,
87,1 JUN 20,319,13.05,13.14,SPY200601P319,17.48,-1.0,0,0,100.00%,0.00%,<empty>,0.0,0.0,0.0,0,2,-0.005,0.0,--,13.1,0.0,13.095,,
88,1 JUN 20,320,14.05,14.13,SPY200601P320,14.22,-1.0,-4.24,33,100.00%,0.00%,<empty>,0.0,0.0,0.0,33,17,-0.01,0.0,--,14.1,15.71,14.09,,
89,1 JUN 20,321,15.04,15.11,SPY200601P321,20.08,-1.0,0,0,100.00%,0.00%,<empty>,0.0,0.0,0.0,0,50,-0.025,0.0,--,15.1,0.0,15.075,,
90,1 JUN 20,322,16.03,16.12,SPY200601P322,0.0,-1.0,0,<empty>,100.00%,0.00%,<empty>,0.0,0.0,0.0,<empty>,0,-0.025,0.0,--,16.1,0.0,16.075,,
91,1 JUN 20,323,17.04,17.13,SPY200601P323,21.37,-1.0,0,0,100.00%,0.00%,<empty>,0.0,0.0,0.0,0,52,-0.015,0.0,--,17.1,0.0,17.085,,
92,1 JUN 20,324,18.05,18.14,SPY200601P324,22.36,-1.0,0,0,100.00%,0.00%,<empty>,0.0,0.0,0.0,0,2,-0.005,0.0,--,18.1,0.0,18.095,,
93,1 JUN 20,325,19.02,19.17,SPY200601P325,36.52,-1.0,<empty>,2,100.00%,0.00%,<empty>,0.0,0.0,0.0,2,0,-0.005,0.0,--,19.1,0.0,19.095,,
94,1 JUN 20,326,20.03,20.11,SPY200601P326,24.38,-1.0,0,0,100.00%,0.00%,<empty>,0.0,0.0,0.0,0,2,-0.03,0.0,--,20.1,0.0,20.07,,
95,1 JUN 20,327,21.05,21.19,SPY200601P327,22.7,-0.94,<empty>,6,97.23%,2.77%,5.57%,0.0,-0.02,0.02,6,2,0.02,0.0,67.14%,21.1,0.0,21.12,,
96,1 JUN 20,328,22.02,22.12,SPY200601P328,0.0,-1.0,0,<empty>,100.00%,0.00%,<empty>,0.0,0.0,0.0,<empty>,0,-0.03,0.0,--,22.1,0.0,22.07,,
97,1 JUN 20,329,23.03,23.12,SPY200601P329,0.0,-1.0,0,<empty>,100.00%,0.00%,<empty>,0.0,0.0,0.0,<empty>,0,-0.025,0.0,--,23.1,0.0,23.075,,
98,1 JUN 20,330,24.02,24.2,SPY200601P330,23.88,-0.94,-4.57,2,97.32%,2.68%,5.40%,0.0,-0.01,0.02,2,51,0.01,0.0,75.88%,24.1,25.71,24.11,,
99,1 JUN 20,335,29.03,29.12,SPY200601P335,28.7,-1.0,-12.70,2,100.00%,0.00%,<empty>,0.0,0.0,0.0,2,8,-0.025,0.0,--,29.1,0.0,29.075,,
100,1 JUN 20,340,34.01,34.17,SPY200601P340,34.7,-1.0,-1.30,10,100.00%,0.00%,<empty>,0.0,0.0,0.0,10,10,-0.01,0.0,--,34.1,34.7,34.09,,
101,1 JUN 20,345,39.01,39.17,SPY200601P345,0.0,-1.0,0,<empty>,100.00%,0.00%,<empty>,0.0,0.0,0.0,<empty>,0,-0.01,0.0,--,39.1,0.0,39.09,,
